Date,Subscribers,"Subscribers gained","Subscribers lost","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown","Videos published","Videos added",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists","Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Watch time (hours)"
2016-03-29,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,6,0.00,0,0,0.00,6,,,0,0,0,0,0,0,0,0,0,0,0,82,9,9.1,7.40,1
2016-03-30,5,5,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,12,0.00,0,0,0.00,12,0,2,0,0,0,0,0,0,2,0,1,1,0,192,14,13.7,12.40,3
2016-03-31,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,19,0.00,0,0,0.00,19,0,3,1,1,0,0,0,0,0,0,0,0,0,32,23,1.4,1.28,1
2016-04-01,14,14,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,67,3,0.00,1,0,160,0.00,0,0,0.00,160,5,1,7,7,0,0,0,0,5,0,12,13,1,1791,231,7.8,10.67,30
2016-04-02,5,5,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,12,2,0.00,0,0,50,0.00,0,0,0.00,50,,,2,2,0,0,0,0,1,0,4,4,0,901,94,9.6,13.88,15
2016-04-03,3,3,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0.00,0,0,41,0.00,0,0,0.00,41,,,2,2,0,0,0,0,1,0,1,1,0,569,62,9.2,13.02,9
2016-04-04,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,67,0.00,0,0,0.00,67,,,1,2,1,0,0,0,0,0,1,1,0,594,79,7.5,11.03,10
2016-04-05,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,37,0.00,0,0,0.00,37,,,0,0,0,0,0,0,0,0,0,0,0,409,43,9.5,12.66,7
2016-04-06,10,10,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,61,0.00,0,0,0.00,61,,,2,2,0,0,0,0,2,0,4,4,0,661,82,8.1,11.99,11
2016-04-07,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,30,0.00,0,0,0.00,30,,,0,0,0,0,0,0,0,0,0,0,0,234,31,7.5,8.86,4
2016-04-08,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,1,2,1,0,0,0,2,0,1,4,3,391,37,10.6,15.38,7
2016-04-09,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,0,0,0,0,0,229,15,15.3,22.20,4
2016-04-10,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,16,0.00,0,0,0.00,16,,,1,1,0,0,0,0,6,0,0,0,0,129,22,5.9,8.99,2
2016-04-11,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,26,0.00,0,0,0.00,26,,,0,0,0,0,0,0,0,0,2,2,0,288,32,9.0,12.56,5
2016-04-12,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,35,0.00,0,0,0.00,35,,,0,0,0,0,0,0,0,0,0,1,1,263,39,6.8,9.48,4
2016-04-13,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,1,1,0,0,0,0,0,0,0,0,0,312,31,10.1,13.18,5
2016-04-14,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,15,0.00,0,0,0.00,15,,,0,0,0,0,0,0,0,0,1,1,0,131,18,7.3,9.58,2
2016-04-15,3,3,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,132,22,6.0,8.07,2
2016-04-16,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,0,0,0,0,0,0,0,0,0,2,2,82,10,8.2,10.46,1
2016-04-17,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,15,0.00,0,0,0.00,15,,,1,1,0,0,0,0,0,0,1,1,0,316,19,16.6,24.40,5
2016-04-18,4,5,1,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,62,0.00,0,0,0.00,62,2,2,2,2,0,0,0,0,0,0,10,10,0,459,72,6.4,9.05,8
2016-04-19,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,49,0.00,0,0,0.00,49,,,0,0,0,0,0,0,0,0,4,4,0,160,62,2.6,4.27,3
2016-04-20,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,21,0.00,0,0,0.00,21,,,0,0,0,0,0,0,0,0,0,0,0,65,25,2.6,4.29,1
2016-04-21,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,0,0,0,0,0,0,0,0,0,0,0,223,26,8.6,13.83,4
2016-04-22,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,30,0.00,0,0,0.00,30,,,0,0,0,0,0,0,0,0,0,0,0,391,33,11.8,18.65,7
2016-04-23,3,3,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,1,0,1,1,0,355,20,17.7,27.60,6
2016-04-24,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,0,0,0,167,19,8.8,14.32,3
2016-04-25,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,0,0,0,0,0,0,0,0,0,0,0,372,29,12.8,20.43,6
2016-04-26,3,4,1,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,60,0.00,0,0,0.00,60,,,0,0,0,0,0,0,8,0,1,1,0,395,67,5.9,9.34,7
2016-04-27,4,4,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,36,0.00,0,0,0.00,36,,,0,0,0,0,0,0,0,0,0,0,0,237,51,4.6,7.71,4
2016-04-28,3,3,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,51,0.00,0,0,0.00,51,,,0,0,0,0,0,0,7,0,1,1,0,308,56,5.5,8.30,5
2016-04-29,4,4,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,29,0.00,0,0,0.00,29,,,0,0,0,0,0,0,0,0,0,0,0,166,33,5.0,8.24,3
2016-04-30,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,71,2,0.00,1,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,1,1,0,253,24,10.6,16.80,4
2016-05-01,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,10,0.00,0,0,0.00,10,,,0,0,0,0,0,0,0,0,1,1,0,256,12,21.3,32.79,4
2016-05-02,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,7,0.00,0,0,0.00,7,,,0,0,0,0,0,0,0,0,3,3,0,39,8,4.9,7.47,1
2016-05-03,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,24,0.00,0,0,0.00,24,0,2,0,0,0,0,0,0,0,0,2,2,0,129,24,5.4,8.38,2
2016-05-04,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,82,0.00,0,0,0.00,82,2,0,0,0,0,0,0,0,0,0,3,3,0,804,99,8.1,13.89,13
2016-05-05,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,0,0,0,0,0,0,0,0,9,9,0,351,45,7.8,13.89,6
2016-05-06,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,45,0.00,0,0,0.00,45,,,0,0,0,0,0,0,4,0,2,2,0,183,50,3.7,6.31,3
2016-05-07,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,16,0.00,0,0,0.00,16,,,0,0,0,0,0,0,0,0,0,0,0,304,26,11.7,20.32,5
2016-05-08,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,36,0.00,0,0,0.00,36,,,1,1,0,0,0,0,1,0,0,0,0,369,41,9.0,14.73,6
2016-05-09,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,31,0.00,0,0,0.00,31,,,0,0,0,0,0,0,2,0,1,1,0,305,37,8.2,14.16,5
2016-05-10,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,27,0.00,0,0,0.00,27,,,0,0,0,0,0,0,0,0,2,2,0,250,31,8.1,13.44,4
2016-05-11,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,24,0.00,0,0,0.00,24,,,0,0,0,0,0,0,0,0,0,0,0,231,28,8.2,13.15,4
2016-05-12,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,21,0.00,0,0,0.00,21,,,0,0,0,0,0,0,0,0,0,0,0,150,22,6.8,11.45,3
2016-05-13,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,0,0,124,16,7.8,13.92,2
2016-05-14,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,7,0.00,0,0,0.00,7,,,0,0,0,0,0,0,0,0,0,0,0,52,8,6.5,11.24,1
2016-05-15,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,5,0.00,0,0,0.00,5,,,0,0,0,0,0,0,0,0,0,0,0,186,7,26.5,46.47,3
2016-05-16,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,1,1,0,0,0,0,0,0,0,0,0,279,37,7.5,12.69,5
2016-05-17,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,0,0,0,0,0,0,0,0,0,0,0,311,35,8.9,14.80,5
2016-05-18,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,229,25,9.2,15.44,4
2016-05-19,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,204,23,8.9,13.09,3
2016-05-20,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,22,0.00,0,0,0.00,22,,,0,0,0,0,0,0,1,0,0,0,0,316,21,15.1,24.50,5
2016-05-21,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,9,0.00,0,0,0.00,9,,,0,0,0,0,0,0,0,0,0,0,0,35,13,2.7,4.57,1
2016-05-22,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,27,0.00,0,0,0.00,27,,,0,0,0,0,0,0,0,0,1,1,0,269,28,9.6,16.21,4
2016-05-23,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,1,1,0,0,0,0,0,0,1,1,0,330,23,14.3,24.99,5
2016-05-24,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,1,1,0,115,20,5.8,9.95,2
2016-05-25,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,38,0.00,0,0,0.00,38,,,1,1,0,0,0,0,0,0,0,0,0,238,39,6.1,10.05,4
2016-05-26,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,36,2,0.00,1,0,13,0.00,0,0,0.00,13,,,0,0,0,0,0,0,3,0,1,1,0,288,27,10.7,17.93,5
2016-05-27,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,1,1,262,19,13.8,23.08,4
2016-05-28,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,0,0,0,0,0,0,0,0,0,0,0,90,10,9.0,14.75,1
2016-05-29,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,2,0,0,0,0,384,14,27.5,43.31,6
2016-05-30,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,13,1,0.00,0,0,31,0.00,0,0,0.00,31,,,3,3,0,0,0,0,3,0,1,1,0,687,49,14.0,20.78,11
2016-05-31,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,49,0.00,0,0,0.00,49,,,0,0,0,0,0,0,1,1,1,1,0,396,58,6.8,10.10,7
2016-06-01,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,42,0.00,0,0,0.00,42,,,0,0,0,0,0,0,0,0,3,3,0,646,53,12.2,19.41,11
2016-06-02,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,0,0,0,210,20,10.5,17.02,4
2016-06-03,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,0,0,155,16,9.7,16.16,3
2016-06-04,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,4,0.00,0,0,0.00,4,,,0,0,0,0,0,0,0,0,0,0,0,87,10,8.7,15.16,1
2016-06-05,2,2,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,1,1,0,0,0,0,0,0,2,2,0,76,10,7.6,13.00,1
2016-06-06,9,9,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,62,0.00,0,0,0.00,62,,,0,0,0,0,0,0,3,0,0,1,1,402,72,5.6,9.26,7
2016-06-07,3,3,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,1,1,0,185,23,8.1,13.52,3
2016-06-08,4,4,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,31,0.00,0,0,0.00,31,,,0,0,0,0,0,0,0,0,0,0,0,388,35,11.1,18.55,6
2016-06-09,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,2,0,1,1,0,203,20,10.1,16.24,3
2016-06-10,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,227,27,8.4,12.51,4
2016-06-11,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,13,0.00,0,0,0.00,13,,,0,0,0,0,0,0,0,0,0,0,0,222,17,13.1,22.67,4
2016-06-12,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,16,0.00,0,0,0.00,16,,,0,0,0,0,0,0,0,0,0,0,0,254,17,14.9,23.88,4
2016-06-13,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,0,0,0,0,0,40,15,2.7,4.52,1
